NI109,Nordmilch AG - Werk Neubörger
NI200,DMV - Fonterra Excipients GmbH & Co. KG 
NI201,FHG Fleischhandelsgesellschaft mbH Wittingen
NI204,Sauermilchkäserei Albert Schmiedecke
NI205,Käserei Schneider
NI214,Gehrke Viedt GbR
NI215,Naturmilchhof Gartetal GbR
NI216,Hof Kuhnigunde
NI300,APOSTEL Griechische Spezialitäten Gesellschaft mit beschränkter Haftung
NI302,J. & J. Hemme GbR
NI305,Frikoni Food GmbH & Co. KG
NI306,Milch-Hof Osterwiese Direkt GbR
NI307,Milchhof Grimmelmann GbR 
NI308,Meyer's Milchhof Hartwig Meyer
NI309,Eckhard Niermann
NI400,Hof Bockum
NI401,Gerhard Dehlwes 
NI404,Atlantic Multipower Germany GmbH & Co OHG Zweigniederlassung Bleckede
NI405,Hensen GmbH
NI406,Milcherfassung Uelzena eG
NI407,Snackmaster Tiefkühlprodukte GmbH & Co. KG 
NI408,Heinrich Hoppe GmbH & Co. KG
NI410,Elsdorf Feinkost AG
NI411,Frieder Schietzelt 
NI412,Molkerei Lünzer Käseschmiede
NI413,Meierdierks Vorzugsmilch 
NI414,Bernd Kück
NI415,Hof Dallmann 
NI500,Herta Produktions GmbH
NI502,Friesenmilch GmbH
NI505,Bruno Gelato GmbH
NI506,Lüttje Plaats Neemann Württemberger GbRmbH 
NI507,Milchhof Ekenhorst 
NI508,Helmut Diers 
NI509,Wilfried Meinen 
NI510,Arnold von Seggern 
NI511,Der Engelnhof
NI10015,Deilshof Ulf Wegener
NI10020,Käserei Colosseo GbR Antonio Buglisi und Viktoria Kiefer 
NI10024,Molda AG
NI10025,Christian Michelbrand
NI10040,Lohnkäserei Bego-Ghina 
NI10050,Herta Produktions GmbH 
